actual,model,stock
127.032,120.42821291793156,45.045
126.947,120.35054401714088,46.23
126.956,120.39908004518871,46.205
126.946,120.38365664420408,46.555
126.909,120.37585519315073,47.85
126.763,120.31331453669132,46.675
126.445,120.13695705730137,47.29
126.356,120.16651727935573,47.005
126.486,120.2072313459278,48.25
126.453,120.23306444576555,48.07
126.467,120.2335330251716,48.6
126.264,120.22273438053787,47.96
126.295,120.2862221284525,48.22
126.317,120.31772593454318,48.47
126.391,120.34244199875975,48.72
126.521,120.29343326647387,49.07
126.582,120.24284598294022,48.415
126.751,120.16104947659625,49.905
126.84,120.1792275429746,49.89
126.965,120.20217413697125,49.78
127.059,120.15036291169764,50.0
126.937,120.10375738908756,49.55
126.929,120.1321778884812,48.935
126.965,120.11794687727058,49.63
127.002,120.15512110023602,48.9
127.124,120.09757112532597,48.235
127.188,120.07231501307155,48.275
127.284,120.09700300239544,48.395
127.451,120.0926593661356,47.84
127.396,120.01636989866803,47.915
127.255,119.95282992179082,47.695
127.1,119.84816208930792,47.95
127.075,119.82782235459027,46.43
126.952,119.84032008820603,46.995
126.947,119.85626406213147,46.765
127.095,119.85014263827944,47.0
127.221,119.93401755373634,47.195
127.562,119.90294226776291,47.22
127.827,119.95136060690565,46.505
127.84,119.98939946744126,46.79
127.851,119.92682123077475,46.69
127.891,119.91819159729175,47.62
127.894,119.91681801204015,46.825
127.857,119.85127712124907,47.71
127.873,118.11459103975106,46.44
127.989,119.70960967192383,46.79
127.767,119.64571087722612,45.615
127.808,119.5989793350451,46.71
127.804,119.5646670825615,47.17
127.843,119.48972707499684,46.75
127.872,119.49189667147995,46.935
128.102,119.25474774201062,46.56
128.151,119.34098394284082,45.72
127.965,119.40262408926688,43.5
127.958,119.24681429296648,44.085
128.026,119.17125068780733,45.64
128.189,119.25846023885373,45.23
128.207,119.22086317026354,45.885
128.253,119.16846550664025,46.555
128.171,119.09348351590548,46.52
128.175,119.07383364991557,46.78
128.342,119.11346058553826,46.2
128.39,119.14517992361301,45.635
128.498,119.11440002610794,46.235
128.697,118.99497009847144,46.85
129.035,118.89151213448102,47.305
129.095,118.82086757543077,45.905
128.967,118.61067927743225,46.58
128.893,118.60791213055502,46.64
128.865,118.47645187194976,46.64
